X	Y	code_spec	height	diameter
1	14.42	18.93	1388	3	4
2	8.77	20.2	851	31	60
3	19.04	19.48	26	20	17
4	19.26	21.17	851	28	54
5	17.97	20.41	851	30	49
6	16.79	18.02	1388	15	16
7	16.55	16.57	1388	3	5
8	14.96	16.54	1388	8	12
9	6.5	13.84	439	6	7
10	5.55	13.99	439	8	12
11	6.01	15.13	1388	4	6
12	15.11	14.72	851	35	75
13	19.77	17.75	1388	2	5
14	13.88	18.39	1388	3	4
15	20.55	20.05	1388	10	11
16	15.2	19.99	1388	5	7
17	15.34	21.84	26	20	20
18	14.81	22.41	1388	5	6
19	13.86	23.74	1388	10	7
20	12.76	23.44	1388	4	4
21	13.13	21.65	1388	5	5
22	12.78	19.71	851	27	48
23	11.83	21.61	1388	5	4
24	12.39	22.41	1388	10	5
25	10.88	23.55	1388	13	20
26	10.39	22.41	1388	14	12
27	12.01	13.79	851	35	59
28	14.73	6.12	1388	5	21
29	9.46	11.44	851	35	49
30	10.24	11.28	1388	2	5
31	10.29	10.45	1388	4	5
32	11.51	10.47	1388	18	20
33	10.22	9.23	1388	4	6
34	9.34	7.64	851	33	67
35	6.7	5.28	851	32	63
36	4.28	4.27	851	32	65
37	11.48	7.82	1388	19	22
38	11.51	4.08	1388	6	10
39	11.54	4.34	1388	18	20
40	18.97	18.57	439	8	8
41	16.67	5.44	1388	3	9
42	5.26	10.22	1388	5	8
43	17.49	6.61	1388	23	19
44	16.13	9.62	1388	17	20
45	15.51	9.07	1388	17	18
46	23.55	22.21	1388	16	19
47	21.31	22.99	851	28	57
48	20.33	23.22	439	10	16
49	17.76	23.22	1388	12	8
50	21.93	16.24	439	6	6
51	21.94	18.09	439	4	4
52	22.21	18.99	439	6	4
53	23.03	19.92	851	30	52
54	18.29	5.99	1388	3	8
